distcode,districtname,g3_8_ela,g3_8_math,g3_8_all_subjects,year,period
2451,Greenwood 51,41.983333333333334,31.866666666666667,36.925000000000004,2021,pre_ban
2452,Greenwood 52,57.833333333333336,50.766666666666666,54.300000000000004,2021,pre_ban
2503,Hampton,44.11666666666667,25.9,35.00833333333333,2021,pre_ban
2601,Horry 01,51.483333333333334,41.166666666666664,46.324999999999996,2021,pre_ban
2701,Jasper 01,19.53333333333333,9.566666666666668,14.549999999999999,2021,pre_ban
2801,Kershaw 01,40.56666666666666,28.699999999999996,34.63333333333333,2021,pre_ban
2901,Lancaster 01,47.11666666666667,42.3,44.708333333333336,2021,pre_ban
3055,Laurens 55,28.116666666666667,17.416666666666664,22.766666666666666,2021,pre_ban
3056,Laurens 56,38.699999999999996,31.68333333333333,35.19166666666666,2021,pre_ban
3101,Lee 01,23.333333333333336,11.839999999999998,17.586666666666666,2021,pre_ban
3201,Lexington 01,50.25,39.46666666666666,44.85833333333333,2021,pre_ban
3202,Lexington 02,29.18333333333333,20,24.59166666666666,2021,pre_ban
3203,Lexington 03,29.9,24.116666666666667,27.008333333333333,2021,pre_ban
3204,Lexington 04,26.6,16.866666666666667,21.733333333333334,2021,pre_ban
3205,Lexington 05,51.416666666666664,39.35,45.38333333333333,2021,pre_ban
3301,McCormick 01,29.21666666666667,11.65,20.433333333333337,2021,pre_ban
3410,Marion 10,19.733333333333334,5.383333333333335,12.558333333333332,2021,pre_ban
3501,Marlboro 01,23.15,11.483333333333336,17.31666666666667,2021,pre_ban
3601,Newberry 01,38.516666666666666,27.983333333333334,33.25,2021,pre_ban
3701,Oconee 01,42.3,35.5,38.9,2021,pre_ban
3809,Orangeburg,25.18333333333333,13.500000000000002,19.34166666666667,2021,pre_ban
3901,Pickens 01,49.483333333333334,38.75,44.11666666666667,2021,pre_ban
4001,Richland 01,34.96666666666666,22.06666666666667,28.516666666666666,2021,pre_ban
4002,Richland 02,41.23333333333333,31.03333333333333,36.13333333333333,2021,pre_ban
4101,Saluda 01,31.483333333333334,19.116666666666667,25.300000000000004,2021,pre_ban
4201,Spartanburg 01,46.199999999999996,41.68333333333333,43.94166666666666,2021,pre_ban
4202,Spartanburg 02,50.916666666666664,42.63333333333333,46.775,2021,pre_ban
4203,Spartanburg 03,46.449999999999996,42.949999999999996,44.699999999999996,2021,pre_ban
4204,Spartanburg 04,44.05,40.78333333333333,42.416666666666664,2021,pre_ban
4205,Spartanburg 05,47.5,40.56666666666666,44.03333333333333,2021,pre_ban
4206,Spartanburg 06,37.45,27.21666666666666,32.333333333333336,2021,pre_ban
4207,Spartanburg 07,42.333333333333336,31.733333333333334,37.03333333333334,2021,pre_ban
4301,Sumter 01,28.9,16.549999999999997,22.725,2021,pre_ban
4401,Union 01,28.883333333333333,18.6,23.741666666666667,2021,pre_ban
4501,Williamsburg 01,32.85,15.966666666666667,24.40833333333333,2021,pre_ban
4601,York 01,37.31666666666666,27.916666666666664,32.61666666666667,2021,pre_ban
4602,York 02,58.06666666666667,53.083333333333336,55.57500000000001,2021,pre_ban
4603,York 03,43.8,29.316666666666663,36.55833333333333,2021,pre_ban
4604,York 04,68.25,59.4,63.824999999999996,2021,pre_ban
4701,SC Public Charter School District,46.233333333333334,28.68333333333333,37.458333333333336,2021,pre_ban
4801,Charter Institute at Erskine,43.28333333333333,21.133333333333333,32.208333333333336,2021,pre_ban
4901,Limestone Charter Association,46.56666666666666,29.68333333333333,38.12499999999999,2021,pre_ban
5207,Deaf & Blind School,NA,NA,NA,2021,pre_ban
5208,Dept Of Juvenile Jun12,18.1,NA,NA,2021,pre_ban
0160,Abbeville 60,51.2,45.666666666666664,48.43333333333333,2022,pre_ban
0201,Aiken 01,44.483333333333334,27.5,35.99166666666667,2022,pre_ban
0301,Allendale 01,34.1,22.166666666666664,28.133333333333333,2022,pre_ban
0401,Anderson 01,62.65,54.800000000000004,58.725,2022,pre_ban
0402,Anderson 02,55.333333333333336,47.36666666666667,51.35,2022,pre_ban
0403,Anderson 03,60.28333333333334,50.61666666666667,55.45,2022,pre_ban
0404,Anderson 04,63.583333333333336,54.516666666666666,59.050000000000004,2022,pre_ban
0405,Anderson 05,49.800000000000004,41.333333333333336,45.56666666666667,2022,pre_ban
0503,Bamberg 03,34.46666666666667,23.35,28.90833333333334,2022,pre_ban
0645,Barnwell 45,34.88333333333333,25.28333333333333,30.083333333333336,2022,pre_ban
0648,Barnwell 48,32.833333333333336,26.25,29.541666666666664,2022,pre_ban
0701,Beaufort 01,48,37.43333333333334,42.71666666666667,2022,pre_ban
0801,Berkeley 01,45.35,28.56666666666667,36.958333333333336,2022,pre_ban
0901,Calhoun 01,37.800000000000004,18.65,28.225,2022,pre_ban
1001,Charleston 01,55.800000000000004,46.61666666666667,51.208333333333336,2022,pre_ban
1101,Cherokee 01,33.85,20.766666666666666,27.30833333333333,2022,pre_ban
1201,Chester 01,38.85,24.4,31.625,2022,pre_ban
1301,Chesterfield 01,33.35,20.083333333333336,26.71666666666667,2022,pre_ban
1406,Clarendon 06,41.03333333333334,32.66666666666667,36.85,2022,pre_ban
1501,Colleton 01,26.53333333333333,12.283333333333333,19.40833333333333,2022,pre_ban
1601,Darlington 01,38.333333333333336,29.116666666666667,33.725,2022,pre_ban
1703,Dillon 03,46.45,33.93333333333334,40.19166666666667,2022,pre_ban
1704,Dillon 04,32.31666666666667,17.666666666666664,24.991666666666667,2022,pre_ban
1802,Dorchester 02,54.016666666666666,40.31666666666667,47.166666666666664,2022,pre_ban
1804,Dorchester 04,35.28333333333334,23.483333333333334,29.383333333333333,2022,pre_ban
1901,Edgefield 01,44.083333333333336,27.516666666666673,35.800000000000004,2022,pre_ban
2001,Fairfield 01,38.666666666666664,26.833333333333336,32.75,2022,pre_ban
2101,Florence 01,46.6,35.28333333333333,40.94166666666667,2022,pre_ban
2102,Florence 02,37.15,27.78333333333333,32.46666666666666,2022,pre_ban
2103,Florence 03,37.63333333333333,19.35,28.491666666666667,2022,pre_ban
2105,Florence 05,46.28333333333334,33.18333333333334,39.73333333333334,2022,pre_ban
2201,Georgetown 01,41.65,31.616666666666667,36.63333333333333,2022,pre_ban
2301,Greenville 01,54.35,46.233333333333334,50.291666666666664,2022,pre_ban
2450,Greenwood 50,48.4,37.96666666666667,43.18333333333333,2022,pre_ban
2451,Greenwood 51,45.18333333333334,35.06666666666667,40.12500000000001,2022,pre_ban
2452,Greenwood 52,61.03333333333334,53.96666666666667,57.50000000000001,2022,pre_ban
2503,Hampton,47.31666666666667,29.1,38.208333333333336,2022,pre_ban
2601,Horry 01,54.68333333333334,44.36666666666667,49.525,2022,pre_ban
2701,Jasper 01,22.733333333333334,12.766666666666667,17.75,2022,pre_ban
2801,Kershaw 01,43.766666666666666,31.9,37.833333333333336,2022,pre_ban
2901,Lancaster 01,50.31666666666667,45.5,47.90833333333334,2022,pre_ban
3055,Laurens 55,31.31666666666667,20.616666666666667,25.96666666666667,2022,pre_ban
3056,Laurens 56,41.9,34.88333333333333,38.391666666666666,2022,pre_ban
3101,Lee 01,26.53333333333333,15.039999999999997,20.78666666666667,2022,pre_ban
3201,Lexington 01,53.45,42.666666666666664,48.05833333333333,2022,pre_ban
3202,Lexington 02,32.38333333333333,23.200000000000003,27.791666666666664,2022,pre_ban
3203,Lexington 03,33.1,27.31666666666667,30.208333333333336,2022,pre_ban
3204,Lexington 04,29.800000000000004,20.066666666666663,24.933333333333337,2022,pre_ban
3205,Lexington 05,54.61666666666667,42.550000000000004,48.583333333333336,2022,pre_ban
3301,McCormick 01,32.41666666666667,14.85,23.633333333333333,2022,pre_ban
3410,Marion 10,22.93333333333333,8.583333333333334,15.758333333333331,2022,pre_ban
3501,Marlboro 01,26.35,14.683333333333335,20.516666666666666,2022,pre_ban
3601,Newberry 01,41.71666666666667,31.183333333333337,36.45,2022,pre_ban
3701,Oconee 01,45.5,38.7,42.1,2022,pre_ban
3809,Orangeburg,28.383333333333333,16.700000000000003,22.541666666666664,2022,pre_ban
3901,Pickens 01,52.68333333333334,41.95,47.31666666666667,2022,pre_ban
4001,Richland 01,38.166666666666664,25.266666666666666,31.71666666666667,2022,pre_ban
4002,Richland 02,44.43333333333333,34.233333333333334,39.333333333333336,2022,pre_ban
4101,Saluda 01,34.68333333333334,22.31666666666667,28.500000000000007,2022,pre_ban
4201,Spartanburg 01,49.4,44.88333333333333,47.141666666666666,2022,pre_ban
4202,Spartanburg 02,54.11666666666667,45.833333333333336,49.975,2022,pre_ban
4203,Spartanburg 03,49.65,46.15,47.9,2022,pre_ban
4204,Spartanburg 04,47.25,43.983333333333334,45.61666666666667,2022,pre_ban
4205,Spartanburg 05,50.7,43.766666666666666,47.233333333333334,2022,pre_ban
4206,Spartanburg 06,40.650000000000006,30.416666666666664,35.53333333333334,2022,pre_ban
4207,Spartanburg 07,45.53333333333334,34.93333333333334,40.23333333333334,2022,pre_ban
4301,Sumter 01,32.1,19.75,25.924999999999997,2022,pre_ban
4401,Union 01,32.083333333333336,21.799999999999997,26.94166666666667,2022,pre_ban
4501,Williamsburg 01,36.050000000000004,19.166666666666664,27.608333333333334,2022,pre_ban
4601,York 01,40.516666666666666,31.116666666666667,35.81666666666667,2022,pre_ban
4602,York 02,61.26666666666667,56.28333333333334,58.77500000000001,2022,pre_ban
4603,York 03,47,32.516666666666666,39.75833333333333,2022,pre_ban
4604,York 04,71.44999999999999,62.6,67.02499999999999,2022,pre_ban
4701,SC Public Charter School District,49.43333333333334,31.883333333333333,40.65833333333334,2022,pre_ban
4801,Charter Institute at Erskine,46.483333333333334,24.333333333333336,35.40833333333334,2022,pre_ban
4901,Limestone Charter Association,49.766666666666666,32.88333333333333,41.324999999999996,2022,pre_ban
5207,Deaf & Blind School,NA,NA,NA,2022,pre_ban
5208,Dept Of Juvenile Jun12,21.299999999999997,NA,NA,2022,pre_ban
0160,Abbeville 60,56.1,50.56666666666666,53.33333333333333,2023,pre_ban
0201,Aiken 01,49.38333333333333,32.4,40.891666666666666,2023,pre_ban
0301,Allendale 01,39,27.066666666666666,33.03333333333333,2023,pre_ban
0401,Anderson 01,67.55,59.7,63.625,2023,pre_ban
0402,Anderson 02,60.233333333333334,52.266666666666666,56.25,2023,pre_ban
0403,Anderson 03,65.18333333333334,55.516666666666666,60.35,2023,pre_ban
0404,Anderson 04,68.48333333333333,59.416666666666664,63.95,2023,pre_ban
0405,Anderson 05,54.7,46.233333333333334,50.46666666666667,2023,pre_ban
0503,Bamberg 03,39.36666666666667,28.25,33.80833333333334,2023,pre_ban
0645,Barnwell 45,39.78333333333333,30.183333333333334,34.983333333333334,2023,pre_ban
0648,Barnwell 48,37.733333333333334,31.15,34.44166666666666,2023,pre_ban
0701,Beaufort 01,52.9,42.333333333333336,47.61666666666667,2023,pre_ban
0801,Berkeley 01,50.25,33.46666666666667,41.858333333333334,2023,pre_ban
0901,Calhoun 01,42.7,23.55,33.125,2023,pre_ban
1001,Charleston 01,60.7,51.516666666666666,56.108333333333334,2023,pre_ban
1101,Cherokee 01,38.75,25.666666666666664,32.20833333333333,2023,pre_ban
1201,Chester 01,43.75,29.3,36.525,2023,pre_ban
1301,Chesterfield 01,38.25,24.983333333333334,31.616666666666667,2023,pre_ban
1406,Clarendon 06,45.93333333333334,37.56666666666667,41.75,2023,pre_ban
1501,Colleton 01,31.433333333333334,17.183333333333334,24.308333333333334,2023,pre_ban
1601,Darlington 01,43.233333333333334,34.016666666666666,38.625,2023,pre_ban
1703,Dillon 03,51.35,38.833333333333336,45.09166666666667,2023,pre_ban
1704,Dillon 04,37.21666666666667,22.566666666666666,29.891666666666666,2023,pre_ban
1802,Dorchester 02,58.916666666666664,45.21666666666667,52.06666666666666,2023,pre_ban
1804,Dorchester 04,40.18333333333334,28.383333333333333,34.28333333333333,2023,pre_ban
1901,Edgefield 01,48.983333333333334,32.41666666666667,40.7,2023,pre_ban
2001,Fairfield 01,43.56666666666666,31.733333333333334,37.65,2023,pre_ban
2101,Florence 01,51.5,40.18333333333333,45.84166666666667,2023,pre_ban
2102,Florence 02,42.05,32.68333333333333,37.36666666666666,2023,pre_ban
2103,Florence 03,42.53333333333333,24.25,33.391666666666666,2023,pre_ban
2105,Florence 05,51.18333333333334,38.083333333333336,44.63333333333334,2023,pre_ban
2201,Georgetown 01,46.55,36.516666666666666,41.53333333333333,2023,pre_ban
2301,Greenville 01,59.25,51.13333333333333,55.19166666666666,2023,pre_ban
2450,Greenwood 50,53.3,42.86666666666667,48.08333333333333,2023,pre_ban
2451,Greenwood 51,50.083333333333336,39.96666666666667,45.025000000000006,2023,pre_ban
2452,Greenwood 52,65.93333333333334,58.86666666666667,62.400000000000006,2023,pre_ban
2503,Hampton,52.21666666666667,34,43.108333333333334,2023,pre_ban
2601,Horry 01,59.583333333333336,49.266666666666666,54.425,2023,pre_ban
2701,Jasper 01,27.633333333333333,17.666666666666668,22.65,2023,pre_ban
2801,Kershaw 01,48.666666666666664,36.8,42.733333333333334,2023,pre_ban
2901,Lancaster 01,55.21666666666667,50.4,52.80833333333334,2023,pre_ban
3055,Laurens 55,36.21666666666667,25.516666666666666,30.866666666666667,2023,pre_ban
3056,Laurens 56,46.8,39.78333333333333,43.291666666666664,2023,pre_ban
3101,Lee 01,31.433333333333334,19.939999999999998,25.686666666666667,2023,pre_ban
3201,Lexington 01,58.35,47.56666666666666,52.95833333333333,2023,pre_ban
3202,Lexington 02,37.28333333333333,28.1,32.69166666666666,2023,pre_ban
3203,Lexington 03,38,32.21666666666667,35.108333333333334,2023,pre_ban
3204,Lexington 04,34.7,24.966666666666665,29.833333333333336,2023,pre_ban
3205,Lexington 05,59.516666666666666,47.45,53.483333333333334,2023,pre_ban
3301,McCormick 01,37.31666666666667,19.75,28.533333333333335,2023,pre_ban
3410,Marion 10,27.833333333333332,13.483333333333334,20.65833333333333,2023,pre_ban
3501,Marlboro 01,31.25,19.583333333333336,25.416666666666668,2023,pre_ban
3601,Newberry 01,46.61666666666667,36.083333333333336,41.35,2023,pre_ban
3701,Oconee 01,50.4,43.6,47,2023,pre_ban
3809,Orangeburg,33.28333333333333,21.6,27.441666666666666,2023,pre_ban
3901,Pickens 01,57.583333333333336,46.85,52.21666666666667,2023,pre_ban
